"Variable_1,""Variable_2"",""Method"",""Correlation_Coefficient"",""P_Value"""
"Prevotella_spp_qPCR_copies,""PNE"",""Spearman"",0.162108313716749,0.246164779753002"
"Prevotella_spp_qPCR_copies,""PNB"",""Spearman"",0.202506984434927,0.145881391442158"
"Prevotella_spp_qPCR_copies,""Serum_DCA"",""Spearman"",0.423094576766833,0.00524389267707322"
"Prevotella_spp_qPCR_copies,""Serum_UDCA"",""Spearman"",0.493592307902862,0.000894715847468234"
"Prevotella_spp_qPCR_copies,""Serum_Glyco_LCA"",""Spearman"",0.443008638265351,0.00330226868420782"
"Prevotella_spp_qPCR_copies,""Serum_Tauro_LCA"",""Spearman"",0.409390885918404,0.00709804145556356"
"Prevotella_spp_qPCR_copies,""Stool_Total"",""Spearman"",0.11860990162877,0.396515161792616"
"Prevotella_spp_qPCR_copies,""Age"",""Spearman"",-0.25935882623412,0.0607420406908311"
"Prevotella_spp_qPCR_copies,""Albumin"",""Spearman"",0.0910138741490999,0.521074467769136"
"Prevotella_spp_qPCR_copies,""Creatinin"",""Spearman"",0.10989190606175,0.433436253421918"
"Prevotella_spp_qPCR_copies,""Prothrombin"",""Spearman"",-0.0743311728087621,0.596827500142604"
"Prevotella_spp_qPCR_copies,""Bilirubin"",""Spearman"",0.247071868207107,0.0744911566736895"
"Prevotella_spp_qPCR_copies,""Delta_bilirubin"",""Spearman"",-0.389638142028962,0.00392787250159099"
"PNE,""PNB"",""Spearman"",0.310454313660137,0.0132740244168332"
"PNE,""Serum_DCA"",""Spearman"",0.128861248961264,0.377544489901751"
"PNE,""Serum_UDCA"",""Spearman"",0.126269828052456,0.387292008695733"
"PNE,""Serum_Glyco_LCA"",""Spearman"",-0.110019034685353,0.451725855136851"
"PNE,""Serum_Tauro_LCA"",""Spearman"",0.18664279227945,0.199110491192962"
"PNE,""Stool_Total"",""Spearman"",0.0173907066366116,0.900670651764395"
"PNE,""Age"",""Spearman"",-0.328192704603021,0.00864064997556601"
"PNE,""Albumin"",""Spearman"",0.0599769781909786,0.643317415506461"
"PNE,""Creatinin"",""Spearman"",0.0736167377256867,0.566378776169789"
"PNE,""Prothrombin"",""Spearman"",-0.124337664560953,0.331592419659521"
"PNE,""Bilirubin"",""Spearman"",0.00262132188412274,0.983732673898721"
"PNE,""Delta_bilirubin"",""Spearman"",-0.187893409813686,0.143624558689578"
"PNB,""Serum_DCA"",""Spearman"",0.0766461605148343,0.60066552319056"
"PNB,""Serum_UDCA"",""Spearman"",0.199014013247497,0.17040839744674"
"PNB,""Serum_Glyco_LCA"",""Spearman"",0.149562786598588,0.305034962416088"
"PNB,""Serum_Tauro_LCA"",""Spearman"",0.216429287853035,0.135264015599654"
"PNB,""Stool_Total"",""Spearman"",-0.067333128923601,0.628550937851889"
"PNB,""Age"",""Spearman"",-0.195473684140162,0.124708267334954"
"PNB,""Albumin"",""Spearman"",0.0172852669069505,0.893921028042221"
"PNB,""Creatinin"",""Spearman"",-0.0264377335119829,0.83704337081636"
"PNB,""Prothrombin"",""Spearman"",-0.175045531866716,0.170007637619603"
"PNB,""Bilirubin"",""Spearman"",0.135317975884419,0.290320768284316"
"PNB,""Delta_bilirubin"",""Spearman"",-0.205774995423773,0.108598830199045"
"Serum_DCA,""Serum_UDCA"",""Spearman"",0.66281610570842,2.11941962069687e-07"
"Serum_DCA,""Serum_Glyco_LCA"",""Spearman"",0.543851919633775,5.37334676580214e-05"
"Serum_DCA,""Serum_Tauro_LCA"",""Spearman"",0.611164649018145,3.09668862655769e-06"
"Serum_DCA,""Stool_Total"",""Spearman"",0.356323941962917,0.0190127437642624"
"Serum_DCA,""Age"",""Spearman"",-0.0151021312372278,0.917969586797166"
"Serum_DCA,""Albumin"",""Spearman"",0.180442214935898,0.21471570710433"
"Serum_DCA,""Creatinin"",""Spearman"",0.124188986899148,0.395225420178771"
"Serum_DCA,""Prothrombin"",""Spearman"",0.0202394984482453,0.89021423437212"
"Serum_DCA,""Bilirubin"",""Spearman"",-0.164727293952513,0.258025109549059"
"Serum_DCA,""Delta_bilirubin"",""Spearman"",-0.28402694050866,0.0479508436352571"
"Serum_UDCA,""Serum_Glyco_LCA"",""Spearman"",0.480922544749349,0.00046906272273866"
"Serum_UDCA,""Serum_Tauro_LCA"",""Spearman"",0.606000882744906,3.94559241833505e-06"
"Serum_UDCA,""Stool_Total"",""Spearman"",0.38269603724284,0.0113157048636099"
"Serum_UDCA,""Age"",""Spearman"",-0.147791809109218,0.310862267307638"
"Serum_UDCA,""Albumin"",""Spearman"",-0.0285466463920779,0.845621902403007"
"Serum_UDCA,""Creatinin"",""Spearman"",0.000712933321196983,0.996120941355769"
"Serum_UDCA,""Prothrombin"",""Spearman"",-0.200651276063396,0.166847306192782"
"Serum_UDCA,""Bilirubin"",""Spearman"",-0.0842427424718231,0.564952834078095"
"Serum_UDCA,""Delta_bilirubin"",""Spearman"",-0.174933091155192,0.2292796131279"
"Serum_Glyco_LCA,""Serum_Tauro_LCA"",""Spearman"",0.691809838806315,3.69749324428748e-08"
"Serum_Glyco_LCA,""Stool_Total"",""Spearman"",0.424501131725123,0.00455172524854114"
"Serum_Glyco_LCA,""Age"",""Spearman"",-0.210119312949347,0.147310072316701"
"Serum_Glyco_LCA,""Albumin"",""Spearman"",-0.122032614844317,0.40354624322875"
"Serum_Glyco_LCA,""Creatinin"",""Spearman"",0.140076338779512,0.33707254907021"
"Serum_Glyco_LCA,""Prothrombin"",""Spearman"",-0.167649242229993,0.249559109658298"
"Serum_Glyco_LCA,""Bilirubin"",""Spearman"",0.0686604698697483,0.639234231822025"
"Serum_Glyco_LCA,""Delta_bilirubin"",""Spearman"",-0.202179792283688,0.163571878363928"
"Serum_Tauro_LCA,""Stool_Total"",""Spearman"",0.310929469486128,0.0424143760087599"
"Serum_Tauro_LCA,""Age"",""Spearman"",-0.251546919393973,0.0812412667616466"
"Serum_Tauro_LCA,""Albumin"",""Spearman"",0.00657523672978865,0.964235704363985"
"Serum_Tauro_LCA,""Creatinin"",""Spearman"",0.145058777350611,0.319993671838947"
"Serum_Tauro_LCA,""Prothrombin"",""Spearman"",-0.164293720999211,0.259297558564691"
"Serum_Tauro_LCA,""Bilirubin"",""Spearman"",0.00465745935026696,0.97466286474771"
"Serum_Tauro_LCA,""Delta_bilirubin"",""Spearman"",-0.128806700711445,0.377748150704558"
"Stool_Total,""Age"",""Spearman"",-0.158751467030852,0.251558340399873"
"Stool_Total,""Albumin"",""Spearman"",0.0791839697454444,0.573020825471975"
"Stool_Total,""Creatinin"",""Spearman"",-0.0418025522831801,0.764079362187123"
"Stool_Total,""Prothrombin"",""Spearman"",0.0423137298520393,0.761279072094414"
"Stool_Total,""Bilirubin"",""Spearman"",-0.204280786351817,0.138419925776224"
"Stool_Total,""Delta_bilirubin"",""Spearman"",-0.0614874396633169,0.658717604752439"
"Age,""Albumin"",""Spearman"",0.0417228840342975,0.747467295449529"
"Age,""Creatinin"",""Spearman"",0.0957379035706908,0.455428163878844"
"Age,""Prothrombin"",""Pearson"",0.106852767570003,0.404549199101351"
"Age,""Bilirubin"",""Spearman"",-0.137073585650274,0.28404923169374"
"Age,""Delta_bilirubin"",""Pearson"",0.0712499212177663,0.582110020639397"
"Albumin,""Creatinin"",""Spearman"",0.207443320960348,0.105701141105161"
"Albumin,""Prothrombin"",""Spearman"",0.304233966718843,0.0162133059495312"
"Albumin,""Bilirubin"",""Spearman"",0.229159321082096,0.0731962072828133"
"Albumin,""Delta_bilirubin"",""Spearman"",-0.25558302814573,0.0468090446290066"
"Creatinin,""Prothrombin"",""Spearman"",0.0192594375039308,0.880906835941961"
"Creatinin,""Bilirubin"",""Spearman"",0.455155985214847,0.000178264600011821"
"Creatinin,""Delta_bilirubin"",""Spearman"",-0.232348372454381,0.0691805977751463"
"Prothrombin,""Bilirubin"",""Spearman"",-0.0107033498903412,0.933647720617838"
"Prothrombin,""Delta_bilirubin"",""Pearson"",-0.198722624994775,0.12152915846282"
"Bilirubin,""Delta_bilirubin"",""Spearman"",-0.302087793084343,0.0170199502940153"
