feature	p__Euryarchaeota	p__Actinobacteria	p__Bacteroidetes	p__Candidatus_Saccharibacteria	p__Firmicutes	p__Fusobacteria	p__Proteobacteria	p__Verrucomicrobia
HAA.29	-16.3657901771959	-5.03561530410979	-0.590007835775072	-21.3364620768888	-1.74873940074082	-12.1742142153843	-7.07929735632858	-18.2918140445687
HAA.28	-16.3657901771959	-15.8781800954452	-9.23163582484893	-21.3364620768888	-8.01660711407292	-19.0189835409742	-0.00799292968894165	-18.2918140445687
HAA.16	-16.3657901771959	-8.07306238305459	-0.308270893098657	-21.3364620768888	-2.81061537607367	-19.0189835409742	-4.43774829468036	-18.2918140445687
HAA.14	-16.3657901771959	-3.1054834439777	-1.12137874177632	-21.3364620768888	-2.27337792360661	-18.0189835409742	-2.20222239586845	-17.0115277360552
HAA.11	-16.3657901771959	-14.1093916563198	-0.424651871463955	-21.3364620768888	-1.98753180029049	-9.91988588984872	-9.18113596482451	-18.2918140445687
HAA.10	-16.3657901771959	-5.67328530063667	-1.28575384305866	-11.4361909292843	-0.860821421404341	-8.89530730809929	-5.86586233624752	-18.2918140445687
HAA.05	-15.3657901771959	-1.97246096149928	-1.22382835977111	-21.3364620768888	-1.78967120653984	-19.0189835409742	-5.17005399175965	-18.2918140445687
HAA.03	-16.3657901771959	-11.0357970187552	-0.161014779356984	-21.3364620768888	-3.45397905619741	-14.7266218359387	-6.175248277459	-18.2918140445687
HAA.02	-16.3657901771959	-8.62662634238442	-0.290878871764791	-21.3364620768888	-3.0872740894459	-9.46101880832517	-4.03540968268667	-18.2918140445687
HAA.026	-16.3657901771959	-10.7488394190529	-2.36256217050582	-12.3982749808065	-0.656274343975453	-6.90847785734233	-2.67942186322129	-7.41850585832972
HAA.01	-16.3657901771959	-4.22109562988686	-0.602751684697451	-20.3364620768888	-2.40342982996756	-11.4086841148065	-4.27227284958881	-4.41890626054257
BB.138	-16.3657901771959	-9.30937751626935	-0.188699904857705	-21.3364620768888	-3.07940064350288	-19.0189835409742	-8.52140037125862	-18.2918140445687
BB.134	-16.3657901771959	-7.9336522177605	-0.376854703858433	-16.3688310473332	-2.32239585624342	-19.0189835409742	-5.27379236659092	-18.2918140445687
BB.127	-16.3657901771959	-13.302131442338	-0.351299559079348	-21.3364620768888	-3.65981920911913	-19.0189835409742	-2.86876750911408	-18.2918140445687
BB.126	-16.3657901771959	-5.23613970990937	-1.39933792462791	-21.3364620768888	-1.95651058939377	-14.251279582798	-1.57062258813172	-18.2918140445687
BB.123	-16.3657901771959	-6.6097507879391	-0.808877392502081	-21.3364620768888	-1.83377876947616	-6.56507825581992	-2.96753456101296	-18.2918140445687
BB.122	-16.3657901771959	-9.65783497667121	-0.0760253200777368	-21.3364620768888	-4.53793572428769	-19.0189835409742	-7.15001955185159	-17.2918140445687
BB.121	-8.62409586263418	-8.8575242145694	-3.05863990422219	-21.3364620768888	-0.417555697091148	-19.0189835409742	-2.98169028102408	-18.2918140445687
BB.120	-16.3657901771959	-5.91776658050863	-0.490109376719314	-21.3364620768888	-2.28487142821363	-19.0189835409742	-3.91520209622638	-18.2918140445687
BB.118	-16.3657901771959	-6.46616967689387	-0.659482640428316	-21.3364620768888	-1.71415675211167	-6.62609899790178	-4.61955350356958	-18.2918140445687
BB.065	-16.3657901771959	-1.12224267662198	-4.53994728960332	-21.3364620768888	-1.09701504574755	-19.0189835409742	-5.05165697322689	-18.2918140445687
BB.060	-16.3657901771959	-5.88256035098185	-1.03837624320182	-21.3364620768888	-2.81485242257322	-19.0189835409742	-1.49794208344325	-18.2918140445687
BB.056	-16.3657901771959	-8.00515613891529	-0.635752010121598	-21.3364620768888	-2.26146660244834	-3.01170446731901	-5.64727970232788	-18.2918140445687
BB.055	-16.3657901771959	-6.33621115496291	-1.27268613588315	-21.3364620768888	-0.803171113872471	-19.0189835409742	-10.5948726757121	-18.2918140445687
BB.054	-16.3657901771959	-6.47694205637594	-0.334913929654107	-21.3364620768888	-3.39934286194271	-6.11995741107391	-3.52635700015492	-18.2918140445687
BB.053	-16.3657901771959	-4.95016273546889	-0.87031936260848	-21.3364620768888	-1.32010241443111	-19.0189835409742	-5.63527113174925	-18.2918140445687
BB.052	-11.6606496868118	-8.63559612362971	-1.09601513389279	-21.3364620768888	-1.01044267513457	-19.0189835409742	-4.92243938818418	-18.2918140445687
BB.050	-16.3657901771959	-5.66918664593653	-1.49383652765627	-21.3364620768888	-0.707850796701262	-13.2266223019895	-6.27144065420944	-18.2918140445687
BB.048	-16.3657901771959	-6.63613187504569	-1.10753983734131	-10.7469607857595	-0.972845779167079	-8.65648964816629	-6.34113718310456	-10.0145667465266
BB.047	-16.3657901771959	-2.07684959833103	-1.93124721270133	-14.9703889660734	-1.02714961921108	-15.3758531386454	-6.63912610504873	-18.2918140445687
BB.046	-16.3657901771959	-4.15599362269382	-1.68962742605929	-20.0728760799954	-1.07408826420765	-8.96471466583242	-2.67185400263293	-18.2918140445687
BB.044	-16.3657901771959	-15.8781800954452	-10.2316358248489	-21.3364620768888	-7.64324688678471	-19.0189835409742	-0.00723463170504808	-18.2918140445687
BB.042	-16.3657901771959	-2.79544304868151	-8.47985087048861	-14.7984298488662	-2.43279011840839	-9.90363491716596	-0.584519441831929	-18.2918140445687
BB.041	-10.0863292877628	-15.8781800954452	-0.994042622588145	-21.3364620768888	-1.00864966965516	-19.0189835409742	-12.3890523224238	-18.2918140445687
BB.040	-16.3657901771959	-11.7121214662559	-0.964725157044487	-21.3364620768888	-3.47695417490309	-9.13703502182691	-1.33738186885913	-18.2918140445687
BB.036	-16.3657901771959	-7.28993236742109	-0.974618793244013	-21.3364620768888	-1.14523201569224	-13.8809120848382	-4.94109710196002	-18.2918140445687
BB.035	-16.3657901771959	-9.70339488381846	-0.0731826747699053	-14.9306026190897	-4.40087969067187	-11.8065952093331	-10.6710148813533	-18.2918140445687
BB.033	-16.3657901771959	-15.8781800954452	-10.2316358248489	-21.3364620768888	0	-19.0189835409742	-12.3890523224238	-18.2918140445687
BB.032	-16.3657901771959	-15.8781800954452	-10.2316358248489	-21.3364620768888	-2.39735436938151	-19.0189835409742	-0.303671968965226	-18.2918140445687
BB.031	-9.74112472092373	-5.35237020062929	-2.75142080003742	-21.3364620768888	-0.284337543462219	-19.0189835409742	-7.72383325036318	-18.2918140445687
BB.030	-16.3657901771959	-6.00227280962656	-0.46383957853338	-21.3364620768888	-2.21881854839032	-19.0189835409742	-4.48913183837609	-18.2918140445687
BB.028	-14.4049139750651	-8.37565798303721	-0.981950962331152	-21.3364620768888	-1.8182991628289	-15.6305741102355	-3.04167670817914	-3.54568752883986
BB.027	-16.3657901771959	-15.8781800954452	-3.91906530471586	-21.3364620768888	-3.28640791111817	-10.338840874531	-0.267724232383516	-18.2918140445687
BB.026	-16.3657901771959	-14.8781800954452	-0.180582156980767	-21.3364620768888	-4.34855781755327	-15.2932175947241	-4.00028367941331	-7.37560195561368
BB.024	-16.3657901771959	-1.15573843342051	-1.98958972357833	-10.9921804032641	-3.89528820301878	-6.96311223593226	-2.16073449131354	-18.2918140445687
BB.020	-16.3657901771959	-4.34023950597064	-0.985743537100686	-16.1231750139557	-1.27146201785993	-9.09781094846737	-5.07892552089766	-18.2918140445687
BB.019	-16.3657901771959	-10.9016672695396	-0.798818589624243	-21.3364620768888	-5.36417837017487	-1.66103457869481	-3.57060498797468	-18.2918140445687
BB.013	-16.3657901771959	-1.38706020621062	-7.36714278424463	-21.3364620768888	-0.710664987612879	-12.3736476294255	-11.3890523224238	-18.2918140445687
BB.012	-16.3657901771959	-4.90309940728641	-2.25316982115756	-13.8405884892654	-0.596266551280705	-6.93768560213308	-3.52073238977571	-18.2918140445687
BB.008	-16.3657901771959	-7.23764671340743	-0.682611032315905	-21.3364620768888	-1.63821453674154	-13.4043252922893	-4.35133073186067	-18.2918140445687
BB.006	-16.3657901771959	-8.38342335613351	-0.350774884215343	-21.3364620768888	-4.42888703703889	-12.5919789693159	-2.58854367458684	-18.2918140445687
BB.004	-16.3657901771959	-4.39898776518793	-0.546962205629812	-16.9248409456958	-2.22076551942482	-8.27223269351488	-4.31127080921965	-18.2918140445687
BB.001	-16.3657901771959	-8.92538510847793	-0.394176944344517	-21.3364620768888	-2.67604244941594	-13.5900179769247	-3.63542674565907	-18.2918140445687
